,indexes,names,scores
0,1,R2_norm_E3019_LFQ-intensity,0.73437913834
1,2,MdAE_abs_E3020_Intensity,0.0782942099157
2,3,textmining,0.0475486641467
3,4,PC_E3028_LFQ-intensity,0.0408709917972
4,5,CC_abs_E3023_iBAQ,0.032530408215
5,6,MSE_abs_E3028_iBAQ,0.0186323639075
6,7,CS_E3020_LFQ-intensity,0.0146577181208
7,8,CC_average_E3017_MS-MS-Count,0.0141342281879
8,9,FMS_E3020_iBAQ,0.00745203316226
9,10,R2_abs_SAL1018_intensity,0.00695227736955
10,11,RS_E3021_Intensity,0.00454796683774
11,12,PC_E3027_Unique-peptides,0.0
12,13,RS_E3027_Unique-peptides,0.0
13,14,CC_abs_E3027_Unique-peptides,0.0
14,15,CC_max_E3027_Unique-peptides,0.0
15,16,CC_average_E3027_Unique-peptides,0.0
16,17,combined_score,0.0
17,18,HL_E3027_Unique-peptides,0.0
18,19,SC_E3027_Unique-peptides,0.0
19,20,CM_E3027_Unique-peptides,0.0
20,21,CM_norm_E3027_Unique-peptides,0.0
21,22,CA_E3027_Unique-peptides,0.0
22,23,EVS_abs_E3017_iBAQ,0.0
23,24,MAE_abs_E3017_iBAQ,0.0
24,25,MSE_abs_E3017_iBAQ,0.0
25,26,MdAE_abs_E3017_iBAQ,0.0
26,27,PS_E3027_Unique-peptides,0.0
27,28,VMS_E3027_Unique-peptides,0.0
28,29,F1_E3027_Unique-peptides,0.0
29,30,CKS_E3027_Unique-peptides,0.0
30,31,EVS_abs_E3027_Unique-peptides,0.0
31,32,MAE_abs_E3027_Unique-peptides,0.0
32,33,MSE_abs_E3027_Unique-peptides,0.0
33,34,MdAE_abs_E3027_Unique-peptides,0.0
34,35,R2_abs_E3027_Unique-peptides,0.0
35,36,EVS_norm_E3027_Unique-peptides,0.0
36,37,MAE_norm_E3027_Unique-peptides,0.0
37,38,MSE_norm_E3027_Unique-peptides,0.0
38,39,MdAE_norm_E3027_Unique-peptides,0.0
39,40,R2_norm_E3027_Unique-peptides,0.0
40,41,ADR_E3027_Unique-peptides,0.0
41,42,CS_E3027_Unique-peptides,0.0
42,43,FMS_E3027_Unique-peptides,0.0
43,44,HS_E3027_Unique-peptides,0.0
44,45,MIS_E3027_Unique-peptides,0.0
45,46,EVS_norm_E3017_iBAQ,0.0
46,47,AS_E3027_Unique-peptides,0.0
47,48,R2_abs_E3017_iBAQ,0.0
48,49,MdAE_norm_E3017_iBAQ,0.0
49,50,MAE_norm_E3017_iBAQ,0.0
50,51,CM_E3017_iBAQ,0.0
51,52,CA_E3017_iBAQ,0.0
52,53,EVS_abs_E3017_Intensity,0.0
53,54,MAE_abs_E3017_Intensity,0.0
54,55,MSE_abs_E3017_Intensity,0.0
55,56,MdAE_abs_E3017_Intensity,0.0
56,57,R2_abs_E3017_Intensity,0.0
57,58,EVS_norm_E3017_Intensity,0.0
58,59,MAE_norm_E3017_Intensity,0.0
59,60,MSE_norm_E3017_Intensity,0.0
60,61,MdAE_norm_E3017_Intensity,0.0
61,62,R2_norm_E3017_Intensity,0.0
62,63,ADR_E3017_Intensity,0.0
63,64,CS_E3017_Intensity,0.0
64,65,FMS_E3017_Intensity,0.0
65,66,HS_E3017_Intensity,0.0
66,67,MIS_E3017_Intensity,0.0
67,68,VMS_E3017_Intensity,0.0
68,69,CM_norm_E3017_iBAQ,0.0
69,70,SC_E3017_iBAQ,0.0
70,71,MSE_norm_E3017_iBAQ,0.0
71,72,PC_E3017_iBAQ,0.0
72,73,CM_norm_E3027_MS-MS-Count,0.0
73,74,R2_norm_E3017_iBAQ,0.0
74,75,ADR_E3017_iBAQ,0.0
75,76,CS_E3017_iBAQ,0.0
76,77,FMS_E3017_iBAQ,0.0
77,78,HS_E3017_iBAQ,0.0
78,79,MIS_E3017_iBAQ,0.0
79,80,VMS_E3017_iBAQ,0.0
80,81,AS_E3017_iBAQ,0.0
81,82,CKS_E3017_iBAQ,0.0
82,83,F1_E3017_iBAQ,0.0
83,84,HL_E3017_iBAQ,0.0
84,85,PS_E3017_iBAQ,0.0
85,86,RS_E3017_iBAQ,0.0
86,87,CC_abs_E3017_iBAQ,0.0
87,88,CC_max_E3017_iBAQ,0.0
88,89,CC_average_E3017_iBAQ,0.0
89,90,CA_E3027_MS-MS-Count,0.0
90,91,CC_average_E3027_MS-MS-Count,0.0
91,92,CM_E3027_MS-MS-Count,0.0
92,93,SC_E3027_Intensity,0.0
93,94,CM_norm_E3027_Intensity,0.0
94,95,CA_E3027_Intensity,0.0
95,96,EVS_abs_E3027_LFQ-intensity,0.0
96,97,MAE_abs_E3027_LFQ-intensity,0.0
97,98,MSE_abs_E3027_LFQ-intensity,0.0
98,99,MdAE_abs_E3027_LFQ-intensity,0.0
99,100,R2_abs_E3027_LFQ-intensity,0.0
100,101,EVS_norm_E3027_LFQ-intensity,0.0
101,102,MAE_norm_E3027_LFQ-intensity,0.0
102,103,MSE_norm_E3027_LFQ-intensity,0.0
103,104,MdAE_norm_E3027_LFQ-intensity,0.0
104,105,R2_norm_E3027_LFQ-intensity,0.0
105,106,ADR_E3027_LFQ-intensity,0.0
106,107,CS_E3027_LFQ-intensity,0.0
107,108,FMS_E3027_LFQ-intensity,0.0
108,109,HS_E3027_LFQ-intensity,0.0
109,110,MIS_E3027_LFQ-intensity,0.0
110,111,CM_E3027_Intensity,0.0
111,112,PC_E3027_Intensity,0.0
112,113,SC_E3027_MS-MS-Count,0.0
113,114,CC_average_E3027_Intensity,0.0
114,115,MSE_norm_E3027_Intensity,0.0
115,116,MdAE_norm_E3027_Intensity,0.0
116,117,R2_norm_E3027_Intensity,0.0
117,118,ADR_E3027_Intensity,0.0
118,119,CS_E3027_Intensity,0.0
119,120,FMS_E3027_Intensity,0.0
120,121,HS_E3027_Intensity,0.0
121,122,MIS_E3027_Intensity,0.0
122,123,VMS_E3027_Intensity,0.0
123,124,AS_E3027_Intensity,0.0
124,125,CKS_E3027_Intensity,0.0
125,126,F1_E3027_Intensity,0.0
126,127,HL_E3027_Intensity,0.0
127,128,PS_E3027_Intensity,0.0
128,129,RS_E3027_Intensity,0.0
129,130,CC_abs_E3027_Intensity,0.0
130,131,CC_max_E3027_Intensity,0.0
131,132,VMS_E3027_LFQ-intensity,0.0
132,133,AS_E3027_LFQ-intensity,0.0
