,indexes,names,scores
0,1,CC_max_E3019_LFQ-intensity,121.150992026
1,2,CC_max_E3017_iBAQ,120.143493259
2,3,CC_max_E3017_Intensity,120.138540461
3,4,CC_average_E3017_Intensity,119.09275241
4,5,CC_average_E3017_iBAQ,119.09275241
5,6,PC_E3017_iBAQ,117.361021859
6,7,PC_E3017_Intensity,117.358034047
7,8,CA_LFQ-intensity_300,117.040289851
8,9,CC_average_E3019_LFQ-intensity,114.199632449
9,10,MAE_norm_E3019_Intensity,112.695063465
10,11,MAE_norm_E3019_iBAQ,112.695063465
11,12,PC_E3019_LFQ-intensity,112.620329822
12,13,CC_max_E3017_LFQ-intensity,111.983637719
13,14,CC_average_Intensity_300,111.452668317
14,15,CC_average_iBAQ_300,111.452668317
15,16,CC_average_E3019_iBAQ,111.207619048
16,17,CC_average_E3019_Intensity,111.202633198
17,18,PC_E3019_iBAQ,111.141840238
18,19,PC_E3019_Intensity,111.141840238
19,20,PC_E3017_LFQ-intensity,110.789990743
20,21,PC_iBAQ_300,110.692383606
21,22,PC_Intensity_300,110.692383606
22,23,CC_max_LFQ-intensity_300,110.231043311
23,24,CC_max_iBAQ_300,108.302145674
24,25,CC_max_Intensity_300,108.302145674
25,26,MSE_norm_E3019_Intensity,107.811837905
26,27,MSE_norm_E3019_iBAQ,107.79724492
27,28,PC_LFQ-intensity_300,107.748628808
28,29,MAE_norm_E3017_iBAQ,107.270680948
29,30,MAE_norm_E3017_Intensity,107.270680948
30,31,CC_max_E3019_Intensity,107.178432731
31,32,CC_max_E3019_iBAQ,107.178084925
32,33,CC_average_LFQ-intensity_300,106.628006723
33,34,CC_average_E3017_LFQ-intensity,106.172511876
34,35,MAE_norm_E3023_iBAQ,105.973166449
35,36,MAE_norm_E3023_Intensity,105.973166449
36,37,CKS_E3019_LFQ-intensity,104.468892993
37,38,CC_average_iBAQ_1000,104.32147599
38,39,CC_average_Intensity_1000,104.32147599
39,40,MAE_norm_E3019_LFQ-intensity,102.949636421
40,41,MSE_norm_E3023_iBAQ,102.34748478
41,42,MSE_norm_E3023_Intensity,102.343029279
42,43,MAE_norm_E3017_LFQ-intensity,102.300248876
43,44,combined_score,102.289778008
44,45,EVS_norm_E3019_Intensity,101.9034471
45,46,EVS_norm_E3019_iBAQ,101.903159797
46,47,CC_average_E3023_Intensity,101.843864738
47,48,CC_average_E3023_iBAQ,101.842331429
48,49,MSE_norm_E3017_iBAQ,101.804081951
49,50,MSE_norm_E3017_Intensity,101.804081951
50,51,MSE_norm_E3017_LFQ-intensity,101.473207439
51,52,CC_abs_iBAQ_300,101.254769169
52,53,MAE_norm_E3023_LFQ-intensity,100.294858854
53,54,PC_E3027_MS-MS-Count,99.912475494
54,55,CC_average_E3027_Intensity,99.4465968664
55,56,CC_average_E3027_iBAQ,99.4464908274
56,57,CKS_E3017_LFQ-intensity,99.4167579486
57,58,EVS_norm_E3019_LFQ-intensity,99.4109745623
58,59,PC_iBAQ_1000,99.054884679
59,60,PC_Intensity_1000,99.054884679
60,61,EVS_norm_E3017_Intensity,98.946611863
61,62,EVS_norm_E3017_iBAQ,98.9453788887
62,63,CA_Intensity_1000,98.5255972497
63,64,CA_iBAQ_1000,98.5255972497
