,indexes,names,scores
0,1,CA_LFQ-intensity_300,122.822953859
1,2,CC_max_E3017_iBAQ,120.61655533
2,3,CC_max_E3017_Intensity,120.611000061
3,4,CC_average_E3017_Intensity,116.584353089
4,5,CC_average_E3017_iBAQ,116.582569837
5,6,PC_E3017_Intensity,115.633128992
6,7,PC_E3017_iBAQ,115.632194232
7,8,MAE_norm_E3019_Intensity,114.168567563
8,9,MAE_norm_E3019_iBAQ,114.160753566
9,10,CC_max_E3019_LFQ-intensity,113.009326679
10,11,MSE_norm_E3019_Intensity,111.97935025
11,12,MSE_norm_E3019_iBAQ,111.961599147
12,13,MAE_norm_E3017_Intensity,111.327940306
13,14,MAE_norm_E3017_iBAQ,111.325415303
14,15,CC_max_E3017_LFQ-intensity,110.152677147
15,16,PC_E3017_LFQ-intensity,109.565482862
16,17,MSE_norm_E3017_Intensity,109.189370455
17,18,MSE_norm_E3017_iBAQ,109.187961559
18,19,PC_iBAQ_300,108.640750434
19,20,PC_Intensity_300,108.640750434
20,21,PC_E3019_Intensity,108.226032167
21,22,PC_E3019_iBAQ,108.225618878
22,23,combined_score,106.906618787
23,24,CC_max_iBAQ_300,106.871454529
24,25,CC_max_Intensity_300,106.871454529
25,26,CC_max_LFQ-intensity_300,106.463919038
26,27,CA_Intensity_300,106.201390844
27,28,PC_E3019_LFQ-intensity,106.088753463
28,29,R2_norm_E3019_Intensity,106.054855733
29,30,R2_norm_E3019_iBAQ,106.054368342
30,31,CC_average_iBAQ_300,105.823730079
31,32,CC_average_Intensity_300,105.823730079
32,33,MAE_norm_E3019_LFQ-intensity,105.28412245
33,34,MSE_norm_E3017_LFQ-intensity,105.220990561
34,35,CC_average_E3019_LFQ-intensity,104.627798005
35,36,CC_average_E3019_iBAQ,104.469678503
36,37,CC_average_E3019_Intensity,104.466135174
37,38,MAE_norm_E3017_LFQ-intensity,104.45867301
38,39,CC_max_E3019_iBAQ,104.079847474
39,40,CC_max_E3019_Intensity,104.078789765
40,41,EVS_norm_E3019_iBAQ,103.85991871
41,42,EVS_norm_E3019_Intensity,103.857124566
42,43,EVS_norm_E3017_Intensity,103.071378222
43,44,EVS_norm_E3017_iBAQ,103.070009827
44,45,PC_LFQ-intensity_300,102.847963626
45,46,CC_abs_iBAQ_300,102.707147288
46,47,CA_iBAQ_300,102.044783427
47,48,CC_average_E3017_LFQ-intensity,101.328064814
48,49,MAE_norm_E3021_LFQ-intensity,101.052012323
49,50,MAE_norm_E3023_iBAQ,100.868044096
50,51,MAE_norm_E3023_Intensity,100.868044096
51,52,CA_E3019_LFQ-intensity,100.782662536
52,53,CC_average_LFQ-intensity_300,100.512720799
53,54,MAE_norm_E3023_LFQ-intensity,100.4920774
54,55,CC_abs_E3017_iBAQ,98.5319865444
55,56,MSE_norm_E3019_LFQ-intensity,97.7966570435
56,57,CC_abs_E3023_iBAQ,97.5634387968
57,58,CKS_E3019_LFQ-intensity,96.9789674879
58,59,CC_average_E3023_iBAQ,96.3849184776
59,60,CC_average_E3023_Intensity,96.3814314303
60,61,MSE_norm_E3023_iBAQ,96.1191559683
61,62,MSE_norm_E3023_Intensity,96.1191559683
62,63,CC_average_Intensity_1000,95.5384394762
63,64,CC_average_iBAQ_1000,95.5384394762
64,65,CKS_E3021_LFQ-intensity,95.3696077034
65,66,PC_E3023_Intensity,95.1562601402
66,67,PC_E3023_iBAQ,95.1560764432
67,68,CA_iBAQ_1000,94.9575669588
68,69,CA_Intensity_1000,94.9575669588
69,70,EVS_norm_E3019_LFQ-intensity,94.6925351516
70,71,CA_E3017_LFQ-intensity,94.608547369
71,72,MAE_norm_E3021_iBAQ,94.4944452039
72,73,MAE_norm_E3021_Intensity,94.4944452039
73,74,CKS_E3017_LFQ-intensity,94.3841486608
74,75,R2_norm_E3019_LFQ-intensity,94.1504442686
75,76,PC_E3027_MS-MS-Count,94.0091216682
76,77,MSE_norm_E3021_Intensity,93.9421196464
77,78,MSE_norm_E3021_iBAQ,93.9421196464
78,79,CC_max_E3023_LFQ-intensity,93.6423901663
79,80,CC_abs_E3019_iBAQ,93.2953970972
80,81,MSE_norm_E3021_LFQ-intensity,93.0167147365
81,82,CKS_E3023_LFQ-intensity,92.2146307139
82,83,EVS_norm_E3017_LFQ-intensity,91.3766130475
83,84,R2_norm_E3017_iBAQ,91.2090328999
84,85,R2_norm_E3017_Intensity,91.2065660337
85,86,PC_MS-MS-Count_1000,90.9074897078
86,87,PC_E3023_LFQ-intensity,90.6637235235
87,88,ADR_E3017_iBAQ,90.2186273552
88,89,ADR_E3017_Intensity,90.2186273552
89,90,R2_norm_E3023_LFQ-intensity,89.7515539701
90,91,PC_Intensity_1000,89.5413612993
91,92,PC_iBAQ_1000,89.5413612993
92,93,MSE_norm_E3023_LFQ-intensity,89.5272814705
93,94,CC_average_E3023_LFQ-intensity,89.3190925227
94,95,CC_max_E3023_iBAQ,89.2701935023
95,96,CC_max_E3023_Intensity,89.2660769466
96,97,CC_max_Intensity_1000,89.048928198
97,98,CC_max_iBAQ_1000,89.0330628756
98,99,R2_norm_E3023_iBAQ,88.847480283
99,100,R2_norm_E3023_Intensity,88.8468371399
100,101,CC_average_E3021_LFQ-intensity,88.6499990443
101,102,PC_E3021_LFQ-intensity,88.6459804033
102,103,EVS_norm_E3027_MS-MS-Count,88.5236265386
103,104,CC_average_E3020_Intensity,88.4515473308
104,105,CC_average_E3020_iBAQ,88.4515473308
105,106,CC_average_E3027_iBAQ,88.2024664243
106,107,CC_average_E3027_Intensity,88.2021516976
107,108,EVS_norm_E3023_iBAQ,88.0325204723
108,109,EVS_norm_E3023_Intensity,88.0316569093
109,110,CA_MS-MS-Count_300,87.6297021718
110,111,CKS_E3017_iBAQ,87.6222159447
111,112,CKS_E3017_Intensity,87.6222159447
112,113,R2_norm_E3021_LFQ-intensity,86.8370268335
113,114,CC_max_E3021_LFQ-intensity,86.7150801486
114,115,CKS_E3027_Intensity,86.4699725859
115,116,CKS_E3027_iBAQ,86.4699725859
116,117,ADR_E3017_LFQ-intensity,86.4602795328
117,118,CKS_E3019_iBAQ,85.8497666278
